AÑOREG;DEPOCU;DEPREG;DIAOCU;EDADHOM;EDADMUJ;MESOCU;MESREG;MUPOCU;MUPREG;NACHOM;NACMUJ
2011;9;9;21;44;14;2;7;901;901;320;320
2011;1;1;7;999;999;4;8;101;101;320;40
2011;1;1;5;999;999;9;10;101;101;320;68
2011;18;18;6;999;999;7;8;1801;1801;320;124
2011;1;1;29;999;999;7;11;101;101;320;124
2012;1;1;27;36;37;12;2;101;101;222;170
2011;1;1;1;999;999;4;9;101;101;320;170
2011;1;1;14;999;999;4;7;101;101;320;170
2012;1;1;25;23;29;8;6;101;101;320;170
2012;1;1;14;999;999;9;6;101;108;320;170
2011;1;1;4;999;999;2;11;101;101;320;188
2011;21;21;4;999;999;10;11;2101;2101;320;188
2011;1;1;27;999;999;6;8;108;101;840;188
2011;1;1;25;29;32;3;5;101;101;320;192
2012;1;1;25;30;29;11;4;101;101;320;218
2011;1;1;25;999;999;5;7;101;101;320;218
2011;1;3;12;35;24;4;9;101;301;320;218
2011;1;1;15;25;23;8;9;115;115;320;222
2012;1;1;4;999;999;10;3;101;101;320;222
2011;1;1;14;999;999;4;9;101;115;320;222
2011;18;18;31;999;999;5;7;1801;1804;320;222
2011;1;1;8;999;999;7;11;101;101;320;222
2011;22;22;25;999;999;1;2;2201;2201;320;222
2012;16;1;26;999;999;8;4;1601;101;320;222
2011;6;6;6;999;999;6;6;601;608;320;222
2011;1;1;19;999;999;5;12;101;101;320;222
2011;1;22;19;999;999;5;7;101;2203;320;222
2011;1;1;4;999;999;11;12;101;101;320;222
2011;1;1;12;999;999;8;10;101;101;320;222
2011;1;1;24;999;999;6;7;101;101;320;276
2011;1;1;20;999;999;7;9;101;101;9999;276
2011;1;1;25;999;999;7;9;101;101;1020;276
2012;18;18;27;999;999;10;1;1801;1801;32;320
2011;1;1;8;999;999;9;10;101;101;32;320
2011;15;15;31;999;999;7;10;1507;1507;68;320
2011;4;4;24;999;999;5;6;401;401;124;320
2011;10;10;10;999;999;10;11;1001;1001;156;320
2012;6;6;12;56;20;9;1;601;611;156;320
2011;1;1;24;50;52;8;9;101;101;170;320
2011;1;1;8;999;999;9;10;101;101;170;320
2011;1;1;25;999;999;4;7;101;101;170;320
2011;1;1;7;999;999;3;4;101;101;188;320
2011;1;1;4;31;25;7;10;108;101;188;320
2011;1;1;7;39;31;7;9;101;101;188;320
2012;1;1;29;999;54;8;2;101;106;192;320
2011;1;1;5;999;999;10;11;101;101;192;320
2011;1;1;20;48;45;7;8;101;101;192;320
2011;13;13;14;41;34;3;4;1327;1327;192;320
2011;19;19;18;39;29;8;10;1901;1901;192;320
2011;1;1;16;31;36;8;11;101;101;192;320
2011;9;9;28;999;999;11;12;901;901;192;320
2011;10;1;18;999;999;8;11;1001;101;192;320
2011;15;15;1;999;29;2;3;1501;1501;192;320
2011;1;1;24;999;45;3;5;101;101;222;320
2011;1;1;10;999;41;3;4;101;101;222;320
2011;1;1;21;999;999;10;12;101;101;222;320
2011;1;1;24;34;34;5;10;101;101;222;320
2011;1;1;21;27;27;9;11;115;115;222;320
2011;1;1;14;24;23;7;8;101;101;222;320
2011;1;1;10;999;999;10;11;101;101;222;320
2011;1;1;15;999;999;2;3;101;101;222;320
2011;9;9;7;999;999;6;11;905;905;222;320
2011;1;1;10;999;999;8;9;101;101;222;320
2012;1;1;8;999;999;11;1;101;101;276;320
2011;1;3;28;999;999;9;12;108;301;276;320
2012;12;12;4;999;999;7;2;1215;1215;320;320
2011;16;16;21;30;33;2;5;1601;1601;320;320
2012;1;1;12;999;52;12;1;101;101;320;320
2011;11;11;24;34;999;6;8;1101;1101;320;320
2011;3;3;25;35;30;1;3;301;301;320;320
2012;15;15;26;30;27;7;1;1501;1503;320;320
2011;1;1;15;40;32;6;9;114;114;320;320
2011;6;6;9;38;999;3;4;601;608;320;320
2011;6;6;21;38;999;3;4;601;608;320;320
2011;1;1;23;20;17;8;9;114;107;320;320
2011;1;1;8;25;999;2;4;101;101;320;320
2012;1;1;12;999;999;9;3;101;101;320;320
2011;1;1;8;999;45;7;8;101;116;320;320
2011;1;1;20;38;34;1;5;101;117;320;320
2011;15;15;8;49;43;2;3;1504;1504;320;320
2011;1;1;28;38;37;3;10;108;101;320;320
2011;22;22;28;22;22;2;4;2202;2202;320;320
2011;1;1;1;999;38;9;9;101;101;320;320
2011;5;5;2;29;29;9;9;501;511;320;320
2012;1;19;2;999;999;12;2;101;1910;320;320
2011;22;22;13;999;999;10;11;2204;2204;320;320
2011;16;16;19;999;34;5;8;1601;1602;320;320
2011;22;22;19;999;23;1;3;2204;2204;320;320
2012;15;15;27;65;999;12;3;1501;1504;320;320
2012;15;15;25;60;999;10;5;1501;1503;320;320
2011;22;22;29;48;999;4;6;2202;2202;320;320
2012;9;9;29;50;46;9;2;905;905;320;320
2011;12;12;7;50;999;2;7;1215;1215;320;320
2011;5;5;28;27;999;2;5;501;509;320;320
2011;12;12;12;20;18;10;11;1222;1222;320;320
2012;1;1;27;999;999;10;2;101;115;320;320
2011;1;1;21;45;42;2;4;114;114;320;320
2011;12;12;27;46;39;4;5;1215;1219;320;320
2011;12;12;10;28;31;6;9;1215;1219;320;320
2011;1;5;18;999;999;5;8;101;513;320;320
2011;19;19;12;41;999;4;6;1901;1901;320;320
2012;1;1;25;51;50;5;2;101;117;320;320
2011;1;1;25;51;50;5;6;101;117;320;320
2011;1;1;4;58;48;5;8;115;115;320;320
2011;16;16;24;30;23;3;4;1601;1602;320;320
2012;6;6;8;29;999;12;1;601;601;320;320
2012;6;6;8;27;24;8;1;601;602;320;320
2012;6;6;8;27;24;8;6;602;602;320;320
2011;1;1;27;999;46;6;7;101;101;320;320
2011;18;18;19;999;42;7;9;1801;1801;320;320
2011;1;1;24;999;40;6;7;101;101;320;320
2011;18;18;28;999;38;4;5;1801;1801;320;320
2011;1;1;31;999;28;8;10;101;101;320;320
2011;16;16;25;999;20;10;12;1601;1602;320;320
2012;22;22;8;999;999;8;4;2201;2203;320;320
2012;18;18;28;35;26;11;1;1801;1801;320;320
2011;22;22;23;25;22;8;9;2201;2201;320;320
2011;22;22;7;38;39;2;4;2201;2201;320;320
2011;18;18;4;34;32;7;8;1801;1801;320;320
2012;1;1;5;999;999;12;2;116;116;320;320
2011;1;1;17;999;999;1;2;101;101;320;320
2011;1;1;13;999;999;1;4;101;101;320;320
2011;1;1;28;999;999;3;6;101;101;320;320
2012;1;1;5;999;999;10;6;101;101;320;320
2011;1;1;7;999;999;6;7;101;101;320;320
2011;1;1;11;999;999;2;7;101;101;320;320
2011;1;1;3;999;999;10;10;101;101;320;320
2011;1;1;7;999;999;10;11;101;101;320;320
2011;1;1;14;999;999;9;11;101;101;320;320
2011;1;1;9;999;999;6;12;101;101;320;320
2011;10;5;6;999;999;3;5;1001;506;320;320
2011;10;5;9;999;999;3;5;1001;506;320;320
2012;5;5;14;999;999;11;6;501;509;320;320
2011;10;10;23;999;999;3;4;1001;1003;320;320
2011;11;11;14;999;999;1;2;1101;1101;320;320
2012;11;11;2;999;999;11;2;1101;1101;320;320
2011;11;11;31;999;999;3;4;1101;1101;320;320
2011;11;11;8;999;999;4;5;1101;1101;320;320
2011;11;11;14;999;999;4;5;1101;1101;320;320
2011;11;11;20;999;999;5;6;1101;1101;320;320
2011;11;11;31;999;999;3;6;1101;1101;320;320
2011;11;11;16;999;999;3;7;1101;1101;320;320
2011;11;11;4;999;999;8;8;1101;1101;320;320
2011;11;11;20;999;999;7;9;1101;1101;320;320
2011;11;11;31;999;999;5;9;1101;1101;320;320
2011;11;11;8;999;999;6;10;1101;1101;320;320
2011;11;11;2;999;999;9;12;1101;1101;320;320
2011;14;14;19;999;999;4;6;1401;1401;320;320
2012;1;15;18;999;999;4;2;101;1503;320;320
2011;15;15;31;999;999;10;12;1501;1503;320;320
2011;2;2;16;999;999;2;9;201;202;320;320
2012;5;5;26;999;999;9;1;501;501;320;320
2011;5;5;6;999;999;6;8;501;501;320;320
2011;11;5;21;999;999;7;10;1101;501;320;320
2012;6;6;20;999;999;12;2;601;608;320;320
2011;6;6;3;999;999;2;3;601;608;320;320
2011;22;6;29;999;999;7;9;2201;608;320;320
2011;18;18;6;999;999;5;9;1801;1804;320;320
2011;18;18;23;999;999;6;9;1801;1804;320;320
2011;18;18;6;999;999;10;10;1801;1804;320;320
2011;22;22;14;999;999;3;4;2201;2201;320;320
2011;22;22;24;999;999;8;9;2201;2201;320;320
2012;1;6;13;999;999;10;1;101;603;320;320
2011;6;6;1;999;999;7;9;601;614;320;320
2011;18;18;11;999;999;2;5;1801;1803;320;320
2011;10;10;26;999;999;1;4;1001;1005;320;320
2012;1;5;15;999;999;11;1;101;505;320;320
2011;1;5;21;999;999;6;8;101;505;320;320
2011;5;5;1;999;999;3;9;501;505;320;320
2011;20;20;29;999;999;9;10;2001;2009;320;320
2012;19;19;21;999;999;11;2;1901;1905;320;320
2011;16;16;23;999;999;5;10;1601;1602;320;320
2012;19;19;3;999;999;11;2;1901;1902;320;320
2011;19;19;24;999;999;2;4;1901;1902;320;320
2011;19;19;17;999;999;5;6;1901;1902;320;320
2011;19;19;18;999;999;4;6;1901;1902;320;320
2011;19;19;11;999;999;8;10;1901;1902;320;320
2011;15;15;28;999;999;2;4;1501;1501;320;320
2011;15;15;4;999;999;7;9;1501;1501;320;320
2011;16;16;14;999;999;3;5;1601;1609;320;320
2011;10;10;16;999;999;2;5;1001;1010;320;320
2011;5;1;23;999;999;5;9;501;102;320;320
2012;10;10;8;999;999;12;1;1001;1001;320;320
2012;10;10;14;999;999;3;5;1001;1001;320;320
2012;16;16;18;999;999;10;2;1601;1601;320;320
2012;16;16;1;999;999;3;4;1601;1601;320;320
2011;1;1;24;999;999;3;4;101;116;320;320
2011;1;1;23;999;999;3;5;101;116;320;320
2011;1;1;5;999;999;7;8;101;116;320;320
2011;1;1;11;999;999;10;11;101;116;320;320
2011;4;4;6;999;999;9;11;401;415;320;320
2012;5;5;2;999;999;11;6;501;507;320;320
2011;10;5;1;999;999;2;9;1001;507;320;320
2011;1;5;18;999;999;7;9;101;507;320;320
2011;5;5;2;999;999;8;11;501;507;320;320
2011;5;5;14;999;999;10;11;501;507;320;320
2011;21;21;8;999;999;6;7;2101;2102;320;320
2011;3;3;17;999;999;3;5;301;308;320;320
2011;3;3;7;999;999;11;12;301;308;320;320
2011;19;19;18;999;999;1;4;1901;1901;320;320
2011;19;19;20;999;999;6;8;1901;1901;320;320
2011;19;19;25;999;999;7;8;1901;1901;320;320
2011;19;19;12;999;999;8;12;1901;1901;320;320
2012;21;21;24;999;999;11;1;2101;2101;320;320
2011;22;22;31;999;999;10;12;2201;2203;320;320
2011;1;4;25;999;999;5;7;101;401;320;320
2011;4;4;26;999;999;5;7;401;401;320;320
2011;1;4;11;999;999;8;9;101;401;320;320
2011;4;4;13;999;999;7;10;401;401;320;320
2012;9;9;24;999;999;11;2;901;919;320;320
2012;15;15;7;999;999;10;1;1501;1504;320;320
2011;15;15;7;999;999;10;11;1501;1504;320;320
2011;19;19;8;999;999;2;4;1902;1902;320;320
2011;1;1;5;999;999;4;8;102;102;320;320
2011;5;5;3;999;999;3;7;502;507;320;320
2011;21;21;1;999;999;6;6;2102;2102;320;320
2011;17;17;16;999;999;9;9;1703;1703;320;320
2012;12;12;28;999;999;7;2;1206;1206;320;320
2012;1;11;10;999;999;10;1;108;1101;320;320
2011;17;17;1;999;999;2;4;1712;1708;320;320
2011;1;5;13;999;999;10;12;115;506;320;320
2011;1;18;15;999;999;3;6;115;1803;320;320
2011;12;12;23;999;999;8;9;1215;1216;320;320
2011;12;12;24;999;999;3;5;1215;1215;320;320
2011;12;12;27;999;999;4;6;1215;1215;320;320
2011;12;12;2;999;999;9;10;1215;1215;320;320
2011;9;9;14;999;999;2;4;919;919;320;320
2011;9;9;27;999;999;1;4;919;919;320;320
2011;11;11;25;48;999;1;2;1101;1101;320;320
2011;22;22;21;41;999;6;7;2201;2201;320;320
2011;10;5;24;38;999;10;11;1001;506;320;320
2011;22;22;27;35;999;10;12;2201;2206;320;320
2011;15;15;13;32;999;7;9;1501;1503;320;320
2011;1;1;10;25;999;2;3;101;108;320;320
2012;1;1;15;66;61;11;2;115;101;320;320
2011;9;9;15;60;50;6;7;901;901;320;320
2012;11;11;11;999;45;7;1;1101;1101;320;320
2011;1;1;4;46;44;8;11;101;101;320;320
2012;16;16;26;999;41;9;5;1601;1601;320;320
2011;1;12;28;46;39;7;8;101;1212;320;320
2012;5;5;28;999;38;11;3;502;506;320;320
2011;5;5;3;41;38;3;6;501;501;320;320
2011;10;5;17;34;38;2;4;1001;506;320;320
2011;11;11;29;999;36;4;6;1101;1101;320;320
2011;1;1;11;41;36;7;8;101;101;320;320
2011;16;16;2;36;36;3;4;1601;1601;320;320
2011;22;22;31;31;36;10;12;2202;2202;320;320
2011;22;22;14;999;35;9;10;2201;2212;320;320
2011;1;1;31;34;35;3;5;101;103;320;320
2011;16;16;15;30;33;3;4;1601;1601;320;320
2011;10;5;5;999;32;4;4;1001;506;320;320
2011;11;11;11;999;31;5;6;1101;1101;320;320
2012;5;5;26;999;31;10;2;502;507;320;320
2011;1;5;13;999;31;4;7;115;507;320;320
2011;11;11;11;999;30;7;8;1101;1101;320;320
2011;15;15;17;35;30;1;2;1501;1508;320;320
2011;15;15;15;999;29;11;12;1501;1503;320;320
2012;18;18;14;35;29;9;2;1801;1804;320;320
2011;9;9;14;29;29;9;10;920;917;320;320
2011;1;1;1;38;28;4;7;102;102;320;320
2011;11;11;19;30;28;4;6;1101;1101;320;320
2011;1;15;18;999;27;10;12;101;1503;320;320
2011;6;6;4;999;27;4;9;601;601;320;320
2011;1;1;17;30;27;3;6;101;101;320;320
2011;4;4;20;26;26;1;3;401;406;320;320
2011;20;20;28;32;25;2;5;2001;2001;320;320
2011;1;1;24;26;24;3;6;115;101;320;320
2012;16;16;27;30;20;5;1;1601;1601;320;320
2011;13;13;12;21;20;5;6;1301;1301;320;320
2011;6;6;7;999;18;4;6;601;608;320;320
2011;11;11;4;999;999;2;2;1101;1101;320;320
2011;15;15;2;999;999;3;6;1501;1503;320;320
2011;1;1;10;999;999;2;8;101;116;320;320
2012;20;19;16;999;999;12;2;2001;1901;320;320
2011;1;1;4;999;999;2;3;101;103;320;320
2011;18;18;25;999;999;3;4;1804;1804;320;320
2012;1;1;2;999;999;12;2;116;116;320;320
2011;1;1;8;38;999;2;6;101;103;320;320
2011;11;11;15;52;49;2;3;1101;1101;320;320
2011;8;11;23;999;37;6;7;801;1101;320;320
2011;12;12;22;31;20;8;10;1215;1215;320;320
2011;11;11;1;46;999;8;8;1101;1101;320;320
2011;1;1;28;30;999;6;8;101;116;320;320
2011;6;6;29;33;31;4;6;601;612;320;320
2011;11;11;16;31;999;6;7;1101;1101;320;320
2012;18;18;28;999;999;4;5;1801;1804;320;320
2011;19;18;18;999;999;10;12;1901;1804;320;320
2011;1;1;20;44;999;1;6;101;105;320;320
2011;6;6;23;32;999;3;5;601;601;320;320
2011;10;10;17;999;999;10;10;1001;1015;320;320
2012;12;12;9;999;999;2;1;1215;1215;320;320
2011;20;20;29;33;999;9;10;2001;2011;320;320
2011;4;4;7;999;51;9;10;401;401;320;320
2011;1;1;22;999;999;3;9;101;101;320;320
2011;13;13;9;999;999;3;5;1301;1310;320;320
2011;1;1;13;999;999;6;8;101;101;320;320
2011;2;2;14;999;999;7;7;201;201;320;320
2011;21;21;23;999;999;5;6;2101;2102;320;320
2011;13;13;4;999;999;2;3;1301;1301;320;320
2011;13;13;4;999;999;3;5;1301;1301;320;320
2011;13;13;23;999;999;3;5;1301;1301;320;320
2011;13;13;27;999;999;5;7;1301;1301;320;320
2011;13;13;19;999;999;8;9;1301;1301;320;320
2011;14;14;23;999;999;2;4;1401;1415;320;320
2012;19;19;24;999;999;11;2;1909;1909;320;320
2011;19;19;2;999;999;2;2;1901;1902;320;320
2011;21;21;3;999;999;2;11;2101;2106;320;320
2012;1;1;16;999;999;8;2;101;101;320;320
2011;1;1;2;999;999;6;8;101;101;320;320
2011;1;1;16;999;999;8;9;101;101;320;320
2011;1;1;13;999;999;7;10;101;101;320;320
2012;21;21;14;58;58;12;1;2101;2102;320;320
2011;21;21;22;58;58;2;5;2102;2102;320;320
2012;13;13;14;31;34;1;2;1301;1301;320;320
2012;1;1;31;34;31;10;2;101;101;320;320
2011;20;20;2;37;30;8;9;2001;2008;320;320
2011;1;1;4;30;30;2;5;101;102;320;320
2011;1;1;7;27;24;2;2;101;113;320;320
2011;13;13;29;999;999;6;7;1301;1301;320;320
2011;21;21;21;25;19;9;10;2101;2101;320;320
2011;1;1;7;62;40;4;5;101;101;320;320
2011;4;4;27;27;20;5;8;401;411;320;320
2012;1;1;9;30;30;8;3;101;101;320;320
2011;12;12;22;25;24;10;12;1215;1215;320;320
2011;1;1;8;999;999;3;6;101;101;320;320
2012;1;14;18;999;999;10;6;101;1401;320;320
2011;20;20;2;999;999;11;12;2001;2007;320;320
2012;1;1;8;999;999;12;5;101;110;320;320
2011;12;12;11;999;999;4;5;1215;1215;320;320
2011;1;1;11;42;46;11;12;101;101;320;320
2012;1;1;22;41;40;2;1;101;101;320;320
2011;1;1;1;41;37;2;3;101;116;320;320
2011;1;1;4;32;31;10;11;101;101;320;320
2011;6;6;23;30;22;2;5;601;601;320;320
2012;1;1;21;28;30;4;4;114;114;320;320
2012;5;5;11;999;55;11;2;501;501;320;320
2012;5;5;12;999;40;12;4;501;501;320;320
2012;5;5;26;999;23;8;1;501;501;320;320
2012;12;12;24;44;38;10;2;1223;1207;320;320
2011;16;16;3;41;41;5;6;1601;1601;320;320
2011;22;22;9;999;38;9;10;2201;2201;320;320
2011;22;22;31;32;26;10;11;2201;2210;320;320
2011;13;13;25;36;31;8;9;1301;1301;320;320
2011;14;14;17;51;47;3;4;1401;1406;320;320
2011;22;22;7;25;20;6;7;2204;2204;320;320
2012;4;4;12;35;35;12;2;401;401;320;320
2011;1;1;14;999;999;3;10;101;101;320;320
2012;16;16;20;33;22;12;3;1601;1601;320;320
2012;9;9;20;38;43;9;1;901;901;320;320
2011;22;22;18;999;999;8;10;2201;2205;320;320
2011;1;1;7;999;63;1;2;101;101;320;320
2011;11;11;17;999;49;3;5;1101;1101;320;320
2011;13;13;17;999;49;2;3;1301;1301;320;320
2012;9;9;25;999;43;11;2;901;909;320;320
2011;1;1;28;999;35;4;6;101;101;320;320
2011;11;11;28;999;34;7;8;1101;1101;320;320
2011;22;22;7;999;34;10;11;2201;2205;320;320
2011;12;12;24;999;33;3;11;1215;1215;320;320
2011;1;1;21;999;32;9;10;114;114;320;320
2011;10;10;20;999;30;9;10;1001;1008;320;320
2011;1;1;23;999;27;5;8;101;101;320;320
2011;22;22;18;999;27;4;7;2201;2206;320;320
2011;17;17;13;999;26;10;11;1712;1712;320;320
2011;1;1;23;999;23;5;8;115;116;320;320
2012;11;11;31;999;20;1;3;1105;1105;320;320
2012;1;1;4;999;999;10;2;116;116;320;320
2011;1;1;29;999;57;3;6;101;101;320;320
2011;5;5;4;999;46;10;11;501;501;320;320
2011;14;14;7;999;40;3;8;1410;1410;320;320
2011;11;11;18;41;29;8;8;1108;1108;320;320
2012;6;6;7;999;999;10;1;601;612;320;320
2011;4;4;22;34;27;7;11;401;401;320;320
2012;3;3;22;25;26;12;3;301;301;320;320
2011;14;14;10;999;999;3;6;1413;1413;320;320
2012;18;18;30;999;64;4;4;1801;1801;320;320
2012;11;11;23;57;999;11;1;1101;1101;320;320
2011;12;12;5;31;25;10;11;1223;1223;320;320
2012;20;1;24;68;66;11;2;2001;101;320;320
2011;22;22;25;999;999;4;6;2201;2203;320;320
2012;22;22;7;999;999;10;1;2201;2201;320;320
2011;15;15;28;30;30;10;12;1501;1501;320;320
2012;9;9;25;40;40;10;1;901;901;320;320
2011;1;1;13;999;999;10;12;101;115;320;320
2011;5;5;21;28;26;1;6;502;502;320;320
2012;1;1;4;32;27;10;5;101;102;320;320
2011;1;1;12;35;29;9;10;101;101;320;320
2011;13;13;4;59;44;1;2;1301;1301;320;320
2011;1;1;18;999;999;1;3;101;101;320;320
2011;9;9;13;51;34;1;1;901;917;320;320
2011;11;12;12;67;64;9;11;1101;1201;320;320
2011;9;9;29;999;999;8;9;901;901;320;320
2012;1;1;7;999;999;3;6;101;101;320;320
2011;1;1;14;999;999;3;4;101;101;320;320
2011;1;1;13;999;999;1;3;101;101;320;320
2012;5;4;14;999;999;12;3;502;408;320;320
2011;1;1;6;999;999;5;7;114;114;320;320
2011;8;8;10;29;999;3;6;801;801;320;320
2012;15;15;1;43;999;12;2;1501;1503;320;320
2011;1;1;5;43;999;5;9;101;101;320;320
2012;16;16;10;43;999;10;2;1601;1601;320;320
2011;1;1;13;999;999;9;11;101;101;320;320
2012;20;20;13;29;30;10;1;2001;2001;320;320
2011;1;1;11;999;999;4;8;101;101;320;320
2011;19;2;11;999;999;10;12;1901;204;320;320
2011;20;20;29;34;23;7;9;2003;2003;320;320
2011;15;15;30;999;45;5;7;1504;1504;320;320
2011;15;15;12;999;29;7;9;1507;1507;320;320
2011;21;21;10;999;26;10;12;2101;2105;320;320
2011;6;6;25;999;25;1;2;601;608;320;320
2011;19;19;12;999;31;7;9;1901;1901;320;320
2011;11;11;29;27;27;6;8;1101;1101;320;320
2011;7;7;20;999;31;5;6;710;710;320;320
2011;22;22;30;999;999;5;6;2201;2204;320;320
2011;13;13;20;32;36;6;11;1308;1308;320;320
2012;1;1;11;47;42;7;2;101;101;320;320
2011;1;1;23;34;32;5;8;101;102;320;320
2011;1;1;16;999;999;7;8;101;101;320;320
2011;3;3;18;999;44;8;9;301;301;320;320
2011;1;1;2;35;27;11;12;101;101;320;320
2011;1;1;15;41;32;6;9;101;101;320;320
2011;1;1;2;999;999;8;9;101;101;320;320
2011;1;1;24;999;999;1;3;101;101;320;320
2011;1;1;19;999;999;1;4;101;101;320;320
2012;9;9;2;35;41;12;1;901;901;320;320
2011;16;16;3;44;42;10;11;1601;1601;320;320
2011;9;9;25;34;33;10;11;901;901;320;320
2011;21;1;17;999;999;6;7;2101;101;320;320
2012;17;17;17;999;999;11;3;1703;1703;320;320
2011;1;1;25;56;56;1;8;101;101;320;320
2011;1;1;30;999;999;6;12;101;101;320;320
2011;10;10;22;999;999;3;6;1001;1005;320;320
2011;18;18;26;46;28;9;12;1801;1801;320;320
2012;1;6;18;999;999;10;1;101;602;320;320
2011;10;10;4;999;28;8;9;1020;1020;320;320
2011;13;13;14;999;999;4;5;1301;1301;320;320
2011;1;1;16;999;999;5;7;101;101;320;320
2011;9;9;4;999;36;11;12;901;901;320;320
2011;9;9;27;999;36;10;12;901;901;320;320
2011;21;1;3;999;999;6;7;2101;101;320;320
2011;1;1;23;999;999;6;7;101;101;320;320
2011;1;1;15;999;999;6;9;101;101;320;320
2011;1;1;22;999;999;9;11;101;101;320;320
2011;1;1;28;999;999;9;11;101;101;320;320
2011;2;2;29;999;999;9;10;201;204;320;320
2012;19;19;22;53;999;9;6;1901;1904;320;320
2011;16;16;30;60;999;5;6;1615;1615;320;320
2011;8;8;19;43;42;8;10;801;805;320;320
2011;8;8;26;26;19;9;11;801;805;320;320
2012;6;6;9;999;34;9;2;601;602;320;320
2011;14;14;27;25;24;10;11;1413;1419;320;320
2011;1;1;27;46;41;7;9;101;101;320;320
2012;1;1;7;999;999;12;4;115;115;320;320
2011;1;1;15;999;999;2;5;101;101;320;320
2011;1;1;8;999;999;9;10;101;101;320;320
2011;10;10;27;999;999;5;7;1001;1005;320;320
2012;1;1;18;999;999;11;1;101;101;320;320
2011;1;1;10;999;999;2;2;101;101;320;320
2012;1;1;6;999;999;10;3;101;101;320;320
2011;1;1;15;999;999;6;7;101;101;320;320
2011;1;1;18;999;999;7;8;101;101;320;320
2011;1;1;30;999;999;5;9;101;101;320;320
2011;5;5;21;999;999;3;6;501;504;320;320
2011;11;11;4;999;999;8;10;1101;1103;320;320
2011;2;2;13;999;999;9;11;201;204;320;320
2011;1;2;9;999;999;8;8;101;207;320;320
2011;6;6;17;999;999;1;3;601;601;320;320
2011;6;6;24;999;999;8;12;601;601;320;320
2011;20;20;9;999;999;6;7;2001;2005;320;320
2011;22;22;30;999;999;5;7;2201;2212;320;320
2011;6;6;1;999;999;7;11;601;609;320;320
2011;4;4;29;999;999;8;11;401;409;320;320
2011;17;17;25;999;999;3;5;1701;1701;320;320
2011;10;10;7;999;999;7;7;1001;1006;320;320
2011;10;10;8;999;999;9;9;1001;1001;320;320
2012;16;16;12;999;999;9;6;1601;1601;320;320
2011;16;16;20;999;999;9;12;1601;1601;320;320
2011;13;13;12;999;999;9;10;1301;1311;320;320
2011;13;13;21;999;999;9;11;1301;1311;320;320
2012;17;1;27;999;999;9;2;1703;101;320;320
2011;17;17;17;999;999;5;6;1703;1708;320;320
2011;22;22;25;999;999;4;8;2204;2204;320;320
2011;17;17;22;999;999;8;9;1705;1705;320;320
2011;11;11;14;999;999;1;2;1109;1109;320;320
2011;17;17;14;999;999;1;4;1712;1708;320;320
2011;1;1;12;999;999;8;10;114;114;320;320
2011;1;6;25;999;999;1;2;115;612;320;320
2012;1;1;27;999;999;12;1;115;115;320;320
2012;1;1;28;999;999;7;1;115;115;320;320
2011;1;1;10;999;999;2;8;115;115;320;320
2011;20;20;12;999;999;7;8;2001;2004;320;320
2011;13;13;8;999;999;2;12;1312;1312;320;320
2011;16;16;18;55;999;7;11;1601;1601;320;320
2011;20;20;23;36;999;8;9;2001;2002;320;320
2011;1;1;8;999;999;7;8;101;101;320;320
2012;1;1;25;999;999;10;3;108;101;320;320
2011;16;16;24;46;43;6;7;1601;1601;320;320
2011;13;13;12;42;36;8;10;1319;1319;320;320
2011;21;21;11;40;33;5;6;2101;2107;320;320
2011;22;22;11;38;30;8;9;2201;2214;320;320
2012;15;15;10;23;20;11;2;1507;1507;320;320
2011;1;1;17;49;47;2;6;101;101;320;320
2012;22;22;24;41;47;10;2;2201;2212;320;320
2011;18;18;5;42;43;5;6;1801;1804;320;320
2011;1;1;12;41;39;9;10;101;101;320;320
2011;22;22;4;38;38;8;10;2201;2216;320;320
2011;16;14;15;999;30;6;10;1601;1415;320;320
2011;22;22;3;37;29;2;3;2201;2203;320;320
2011;22;16;24;28;27;3;5;2201;1603;320;320
2011;16;16;27;31;23;6;7;1601;1615;320;320
2011;19;19;11;25;22;10;11;1901;1904;320;320
2011;11;11;4;999;35;3;9;1101;1109;320;320
2012;13;13;8;999;25;3;4;1304;1304;320;320
2011;1;22;8;58;66;8;9;101;2216;320;320
2011;11;11;21;68;47;10;11;1101;1101;320;320
2011;14;14;16;27;31;9;10;1401;1412;320;320
2012;6;22;22;35;30;12;2;601;2216;320;320
2011;19;19;1;999;999;4;8;1901;1904;320;320
2011;22;22;26;999;999;9;12;2201;2214;320;320
2011;9;9;8;60;61;4;4;901;917;320;320
2011;1;15;22;48;45;3;10;101;1505;320;320
2011;19;19;9;48;45;6;8;1901;1908;320;320
2011;1;15;25;58;37;3;6;108;1505;320;320
2012;9;9;18;38;36;10;4;920;922;320;320
2011;12;12;8;38;34;6;10;1215;1215;320;320
2011;1;6;17;38;33;1;4;101;601;320;320
2011;20;20;9;38;28;6;8;2001;2007;320;320
2012;14;14;12;33;28;12;2;1413;1415;320;320
2012;15;15;18;34;27;4;6;1501;1505;320;320
2011;22;22;5;31;27;9;9;2201;2201;320;320
2011;13;13;19;29;26;10;11;1301;1303;320;320
2011;17;17;6;22;26;9;11;1705;1710;320;320
2012;22;22;31;24;21;10;3;2201;2216;320;320
2011;1;6;17;22;21;11;12;115;613;320;320
2011;14;14;10;33;18;8;10;1412;1412;320;320
2011;22;22;9;28;17;8;9;2201;2211;320;320
